name,qid,P_5,recall_10,map,ndcg_cut_10
ElasticsearchBM25,Q090,0.6,0.16666666666666666,0.5678571428571428,0.31987475106052127
ElasticsearchBM25,Q091,1.0,0.375,0.976923076923077,0.7236490447080038
ElasticsearchBM25,Q092,0.8,0.34782608695652173,0.7605823984856243,0.46949079773287006
ElasticsearchBM25,Q093,0.8,0.5,0.7678395134277487,0.46717968264136167
ElasticsearchBM25,Q094,0.2,0.125,0.3866666666666666,0.31160772938632036
ElasticsearchBM25,Q095,1.0,0.45454545454545453,0.9583510713778912,0.8182198962070147
ElasticsearchBM25,Q096,1.0,0.25,0.806923196629079,0.7010091051825412
ElasticsearchBM25,Q097,1.0,0.6,0.7882826994434139,0.9652964882798839
ElasticsearchBM25,Q098,0.6,0.14285714285714285,0.3941763820796078,0.23814966735050946
ElasticsearchBM25,Q099,0.2,0.10344827586206896,0.30036582265756545,0.21158789277330783
ElasticsearchBM25,Q100,1.0,0.46153846153846156,0.7709205575721412,0.8250402303677009
ElasticsearchBM25,Q101,1.0,0.6666666666666666,1.0,0.844172871320243
ElasticsearchBM25,Q102,0.0,0.0,0.0,0.0
ElasticsearchBM25,Q103,0.6,0.2,0.5159125850070123,0.4458563526750824
ElasticsearchBM25,Q104,0.2,0.25,0.40858421649136234,0.34962820120754723
ElasticsearchBM25,Q105,1.0,0.32142857142857145,0.8226269344690397,0.7402508883796167
